heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona_primeira_melhora,15,10,1,0,03,1007,99,NA
monotona_melhor_melhora,15,10,1,0,03,1006,99,NA
monotona_primeira_melhora,15,10,2,0,02,1005,111,NA
monotona_melhor_melhora,15,10,2,0,02,1003,111,NA
monotona_primeira_melhora,15,10,3,0,02,1004,90,NA
monotona_melhor_melhora,15,10,3,0,02,1003,90,NA
monotona_primeira_melhora,15,10,4,0,03,1010,98,NA
monotona_melhor_melhora,15,10,4,0,02,1004,109,NA
monotona_primeira_melhora,15,10,5,0,02,1005,133,NA
monotona_melhor_melhora,15,10,5,0,02,1004,133,NA
monotona_primeira_melhora,15,10,6,0,02,1006,98,NA
monotona_melhor_melhora,15,10,6,0,03,1004,98,NA
monotona_primeira_melhora,15,10,7,0,02,1011,82,NA
monotona_melhor_melhora,15,10,7,0,01,1007,82,NA
monotona_primeira_melhora,15,10,8,0,01,1007,95,NA
monotona_melhor_melhora,15,10,8,0,01,1006,95,NA
monotona_primeira_melhora,15,10,9,0,01,1010,91,NA
monotona_melhor_melhora,15,10,9,0,01,1008,91,NA
monotona_primeira_melhora,15,10,10,0,01,1002,85,NA
monotona_melhor_melhora,15,10,10,0,01,1001,85,NA
monotona_primeira_melhora,20,10,1,0,02,1006,158,NA
monotona_melhor_melhora,20,10,1,0,02,1005,149,NA
monotona_primeira_melhora,20,10,2,0,02,1009,107,NA
monotona_melhor_melhora,20,10,2,0,02,1008,112,NA
monotona_primeira_melhora,20,10,3,0,02,1011,128,NA
monotona_melhor_melhora,20,10,3,0,02,1008,128,NA
monotona_primeira_melhora,20,10,4,0,02,1013,105,NA
monotona_melhor_melhora,20,10,4,0,02,1008,112,NA
monotona_primeira_melhora,20,10,5,0,02,1002,126,NA
monotona_melhor_melhora,20,10,5,0,02,1002,126,NA
monotona_primeira_melhora,20,10,6,0,02,1005,168,NA
monotona_melhor_melhora,20,10,6,0,02,1004,168,NA
monotona_primeira_melhora,20,10,7,0,02,1012,112,NA
monotona_melhor_melhora,20,10,7,0,02,1010,99,NA
monotona_primeira_melhora,20,10,8,0,02,1015,160,NA
monotona_melhor_melhora,20,10,8,0,06,1008,173,NA
monotona_primeira_melhora,20,10,9,0,02,1014,122,NA
monotona_melhor_melhora,20,10,9,0,02,1012,122,NA
monotona_primeira_melhora,20,10,10,0,01,1006,137,NA
monotona_melhor_melhora,20,10,10,0,02,1006,137,NA
monotona_primeira_melhora,30,20,1,0,09,1014,119,NA
monotona_melhor_melhora,30,20,1,0,09,1013,119,NA
monotona_primeira_melhora,30,20,2,0,09,1017,97,NA
monotona_melhor_melhora,30,20,2,0,09,1005,135,NA
monotona_primeira_melhora,30,20,3,0,08,1010,120,NA
monotona_melhor_melhora,30,20,3,0,08,1009,120,NA
monotona_primeira_melhora,30,20,4,0,08,1008,121,NA
monotona_melhor_melhora,30,20,4,0,08,1007,121,NA
monotona_primeira_melhora,30,20,5,0,08,1009,164,NA
monotona_melhor_melhora,30,20,5,0,08,1007,164,NA
monotona_primeira_melhora,30,20,6,0,08,1009,155,NA
monotona_melhor_melhora,30,20,6,0,09,1007,155,NA
monotona_primeira_melhora,30,20,7,0,09,1018,99,NA
monotona_melhor_melhora,30,20,7,0,09,1017,107,NA
monotona_primeira_melhora,30,20,8,0,08,1005,176,NA
monotona_melhor_melhora,30,20,8,0,09,1005,176,NA
monotona_primeira_melhora,30,20,9,0,09,1012,120,NA
monotona_melhor_melhora,30,20,9,0,08,1008,128,NA
monotona_primeira_melhora,30,20,10,0,09,1017,94,NA
monotona_melhor_melhora,30,20,10,0,09,1015,94,NA
monotona_primeira_melhora,40,20,1,0,13,1014,148,NA
monotona_melhor_melhora,40,20,1,0,13,1013,148,NA
monotona_primeira_melhora,40,20,2,0,13,1023,100,NA
monotona_melhor_melhora,40,20,2,0,13,1012,125,NA
monotona_primeira_melhora,40,20,3,0,14,1017,150,NA
monotona_melhor_melhora,40,20,3,0,13,1008,182,NA
monotona_primeira_melhora,40,20,4,0,13,1014,163,NA
monotona_melhor_melhora,40,20,4,0,13,1012,163,NA
monotona_primeira_melhora,40,20,5,0,14,1009,157,NA
monotona_melhor_melhora,40,20,5,0,13,1007,157,NA
monotona_primeira_melhora,40,20,6,0,13,1010,165,NA
monotona_melhor_melhora,40,20,6,0,13,1010,165,NA
monotona_primeira_melhora,40,20,7,0,13,1017,128,NA
monotona_melhor_melhora,40,20,7,0,13,1014,128,NA
monotona_primeira_melhora,40,20,8,0,13,1006,147,NA
monotona_melhor_melhora,40,20,8,0,13,1006,147,NA
monotona_primeira_melhora,40,20,9,0,13,1012,161,NA
monotona_melhor_melhora,40,20,9,0,13,1011,161,NA
monotona_primeira_melhora,40,20,10,0,13,1013,150,NA
monotona_melhor_melhora,40,20,10,0,13,1016,127,NA
monotona_primeira_melhora,75,50,1,0,99,1006,194,NA
monotona_melhor_melhora,75,50,1,1,02,1012,164,NA
monotona_primeira_melhora,75,50,2,1,00,1007,164,NA
monotona_melhor_melhora,75,50,2,1,00,1004,164,NA
monotona_primeira_melhora,75,50,3,1,03,1026,127,NA
monotona_melhor_melhora,75,50,3,1,03,1016,137,NA
monotona_primeira_melhora,75,50,4,1,03,1016,154,NA
monotona_melhor_melhora,75,50,4,1,06,1011,148,NA
monotona_primeira_melhora,75,50,5,1,03,1006,147,NA
monotona_melhor_melhora,75,50,5,1,04,1005,147,NA
monotona_primeira_melhora,75,50,6,1,00,1009,157,NA
monotona_melhor_melhora,75,50,6,1,07,1008,157,NA
monotona_primeira_melhora,75,50,7,0,98,1007,157,NA
monotona_melhor_melhora,75,50,7,1,00,1007,157,NA
monotona_primeira_melhora,75,50,8,1,01,1009,199,NA
monotona_melhor_melhora,75,50,8,1,01,1012,188,NA
monotona_primeira_melhora,75,50,9,0,97,1009,170,NA
monotona_melhor_melhora,75,50,9,1,00,1008,170,NA
monotona_primeira_melhora,75,50,10,0,98,1006,167,NA
monotona_melhor_melhora,75,50,10,0,99,1007,160,NA
monotona_primeira_melhora,100,50,1,1,61,1015,184,NA
monotona_melhor_melhora,100,50,1,1,67,1015,184,NA
monotona_primeira_melhora,100,50,2,1,63,1020,203,NA
monotona_melhor_melhora,100,50,2,1,68,1021,194,NA
monotona_primeira_melhora,100,50,3,1,62,1013,215,NA
monotona_melhor_melhora,100,50,3,1,66,1013,215,NA
monotona_primeira_melhora,100,50,4,1,61,1017,198,NA
monotona_melhor_melhora,100,50,4,1,65,1008,212,NA
monotona_primeira_melhora,100,50,5,1,63,1014,165,NA
monotona_melhor_melhora,100,50,5,1,65,1009,178,NA
monotona_primeira_melhora,100,50,6,1,62,1014,180,NA
monotona_melhor_melhora,100,50,6,1,68,1013,171,NA
monotona_primeira_melhora,100,50,7,1,68,1011,190,NA
